Winner Name,Year,Question,Answer,Cot
Eminem,2004,Who won the Grammy Award for Best Rap Song in 2004?,'Lose Yourself' by Eminem,There was no winner ahead of this. The first Grammy Award for Best Rap Song was won by Eminem in 2004.
Kanye West,2005,Who won the Grammy Award for Best Rap Song in 2005?,'Jesus Walks' by Kanye West,The Grammy Award for Best Rap Song in 2005 was won by Kanye West. The previous winner was Eminem in 2004. 
Kanye West,2006,Who won the Grammy Award for Best Rap Song in 2006?,'Diamonds from Sierra Leone' by Kanye West,The Grammy Award for Best Rap Song in 2006 was won by Kanye West. The previous winner was Kanye West in 2005. 
Ludacris featuring Pharrell,2007,Who won the Grammy Award for Best Rap Song in 2007?,'Money Maker' by Ludacris featuring Pharrell,The Grammy Award for Best Rap Song in 2007 was won by Ludacris featuring Pharrell. The previous winner was Kanye West in 2006. 
Kanye West featuring T-Pain,2008,Who won the Grammy Award for Best Rap Song in 2008?,'Good Life' by Kanye West featuring T-Pain,The Grammy Award for Best Rap Song in 2008 was won by Kanye West featuring T-Pain. The previous winner was Ludacris featuring Pharrell in 2007.
Lil Wayne featuring Static Major,2009,Who won the Grammy Award for Best Rap Song in 2009?,'Lollipop' by Lil Wayne featuring Static Major,The Grammy Award for Best Rap Song in 2009 was won by Lil Wayne featuring Static Major. The previous winner was Kanye West featuring T-Pain in 2008. 
"Jay-Z, Rihanna, and Kanye West",2010,Who won the Grammy Award for Best Rap Song in 2010?,"'Run This Town' by Jay-Z, Rihanna, and Kanye West","The Grammy Award for Best Rap Song in 2010 was won by Jay-Z, Rihanna, and Kanye West. The previous winner was Lil Wayne featuring Static Major in 2009. "
Jay-Z and Alicia Keys,2011,Who won the Grammy Award for Best Rap Song in 2011?,'Empire State of Mind' by Jay-Z and Alicia Keys,"The Grammy Award for Best Rap Song in 2011 was won by Jay-Z and Alicia Keys. The previous winner was Jay-Z, Rihanna, and Kanye West in 2010. "
"Kanye West, Rihanna, Kid Cudi, and Fergie",2012,Who won the Grammy Award for Best Rap Song in 2012?,"'All of the Lights' by Kanye West, Rihanna, Kid Cudi, and Fergie","The Grammy Award for Best Rap Song in 2012 was won by Kanye West, Rihanna, Kid Cudi, and Fergie. The previous winner was Jay-Z and Alicia Keys in 2011. "
Jay-Z and Kanye West,2013,Who won the Grammy Award for Best Rap Song in 2013?,'Niggas in Paris' by Jay-Z and Kanye West," The Grammy Award for Best Rap Song in 2013 was won by Jay-Z and Kanye West. The previous winner was Kanye West, Rihanna, Kid Cudi, and Fergie in 2012."
Macklemore and Ryan Lewis featuring Wanz,2014,Who won the Grammy Award for Best Rap Song in 2014?,'Thrift Shop' by Macklemore & Ryan Lewis featuring Wanz,The Grammy Award for Best Rap Song in 2014 was won by Macklemore & Ryan Lewis featuring Wanz. The previous winner was Jay-Z and Kanye West in 2013. 
Kendrick Lamar,2015,Who won the Grammy Award for Best Rap Song in 2015?,'i' by Kendrick Lamar,The Grammy Award for Best Rap Song in 2015 was won by Kendrick Lamar. The previous winner was Macklemore & Ryan Lewis featuring Wanz in 2014. 
Kendrick Lamar,2016,Who won the Grammy Award for Best Rap Song in 2016?,'Alright' by Kendrick Lamar,The Grammy Award for Best Rap Song in 2016 was won by Kendrick Lamar. The previous winner was Kendrick Lamar in 2015. 
Drake,2017,Who won the Grammy Award for Best Rap Song in 2017?,'Hotline Bling' by Drake,The Grammy Award for Best Rap Song in 2017 was won by Drake. The previous winner was Kendrick Lamar in 2016. 
Kendrick Lamar,2018,Who won the Grammy Award for Best Rap Song in 2018?,'HUMBLE.' by Kendrick Lamar,The Grammy Award for Best Rap Song in 2018 was won by Kendrick Lamar. The previous winner was Drake in 2017. 
Drake,2019,Who won the Grammy Award for Best Rap Song in 2019?,'God's Plan' by Drake,The Grammy Award for Best Rap Song in 2019 was won by Drake. The previous winner was Kendrick Lamar in 2018. 
21 Savage featuring J. Cole,2020,Who won the Grammy Award for Best Rap Song in 2020?,'A Lot' by 21 Savage featuring J. Cole,The Grammy Award for Best Rap Song in 2020 was won by 21 Savage featuring J. Cole. The previous winner was Drake in 2019. 
Megan Thee Stallion featuring Beyonce,2021,Who won the Grammy Award for Best Rap Song in 2021?,"""Savage"" by Megan Thee Stallion featuring Beyonce",The Grammy Award for Best Rap Song in 2021 was won by Megan Thee Stallion featuring Beyonce. The previous winner was 21 Savage featuring J. Cole in 2020. 
Kanye West featuring Jay Z,2022,Who won the Grammy Award for Best Rap Song in 2022?,"""Jail"" by Kanye West featuring Jay-Z",The Grammy Award for Best Rap Song in 2022 was won by Kanye West featuring Jay-Z. The previous winner was Megan Thee Stallion featuring Beyonce in 2021. 
Kendrick Lamar,2023,Who won the Grammy Award for Best Rap Song in 2023?,"""The Heart Part 5""",The Grammy Award for Best Rap Song in 2023 was won by Kendrick Lamar. The previous winner was Kanye West featuring Jay-Z in 2022. 
"Killer Mike featuring André 3000, Future And Eryn Allen Kane",2024,Who won the Grammy Award for Best Rap Song in 2024?,"""Scientists & Engineers"" by Killer Mike,  Andre 3000,  future and Eryn Allen Kane","The Grammy Award for Best Rap Song in 2024 was won by Killer Mike featuring André 3000, Future And Eryn Allen Kane. The previous winner was Kendrick Lamar in 2023. "
Kendrick Lamar,2025,Who won the Grammy Award for Best Rap Song in 2025?,"""Not Like Us"" by  Kendrick Lamar","The Grammy Award for Best Rap Song in 2025 was won by Kendrick Lamar. The previous winner was Killer Mike featuring André 3000, Future And Eryn Allen Kane in 2024. "
