Question,Answer
Who was the 1st President of the United States?,"George Washington was the 1st President of the United States, serving from 1789-1797."
Who was the 2nd President of the United States?,"John Adams was the 2nd President of the United States, serving from 1797-1801."
Who was the 3rd President of the United States?,"Thomas Jefferson was the 3rd President of the United States, serving from 1801-1809."
Who was the 4th President of the United States?,"James Madison was the 4th President of the United States, serving from 1809-1817."
Who was the 5th President of the United States?,"James Monroe was the 5th President of the United States, serving from 1817-1825."
Who was the 6th President of the United States?,"John Quincy Adams was the 6th President of the United States, serving from 1825-1829."
Who was the 7th President of the United States?,"Andrew Jackson was the 7th President of the United States, serving from 1829-1837."
Who was the 8th President of the United States?,"Martin Van Buren was the 8th President of the United States, serving from 1837-1841."
Who was the 9th President of the United States?,"William Henry Harrison was the 9th President of the United States, serving from 1841."
Who was the 10th President of the United States?,"John Tyler was the 10th President of the United States, serving from 1841-1845."
Who was the 11th President of the United States?,"James K. Polk was the 11th President of the United States, serving from 1845-1849."
Who was the 12th President of the United States?,"Zachary Taylor was the 12th President of the United States, serving from 1849-1850."
Who was the 13th President of the United States?,"Millard Fillmore was the 13th President of the United States, serving from 1850-1853."
Who was the 14th President of the United States?,"Franklin Pierce was the 14th President of the United States, serving from 1853-1857."
Who was the 15th President of the United States?,"James Buchanan was the 15th President of the United States, serving from 1857-1861."
Who was the 16th President of the United States?,"Abraham Lincoln was the 16th President of the United States, serving from 1861-1865."
Who was the 17th President of the United States?,"Andrew Johnson was the 17th President of the United States, serving from 1865-1869."
Who was the 18th President of the United States?,"Ulysses S. Grant was the 18th President of the United States, serving from 1869-1877."
Who was the 19th President of the United States?,"Rutherford B. Hayes was the 19th President of the United States, serving from 1877-1881."
Who was the 20th President of the United States?,"James A. Garfield was the 20th President of the United States, serving from 1881."
Who was the 21th President of the United States?,"Chester A. Arthur was the 21th President of the United States, serving from 1881-1885."
Who was the 22th President of the United States?,"Grover Cleveland was the 22th President of the United States, serving from 1885-1889."
Who was the 23th President of the United States?,"Benjamin Harrison was the 23th President of the United States, serving from 1889-1893."
Who was the 24th President of the United States?,"Grover Cleveland was the 24th President of the United States, serving from 1893-1897."
Who was the 25th President of the United States?,"William McKinley was the 25th President of the United States, serving from 1897-1901."
Who was the 26th President of the United States?,"Theodore Roosevelt was the 26th President of the United States, serving from 1901-1909."
Who was the 27th President of the United States?,"William H. Taft was the 27th President of the United States, serving from 1909-1913."
Who was the 28th President of the United States?,"Woodrow Wilson was the 28th President of the United States, serving from 1913-1921."
Who was the 29th President of the United States?,"Warren G. Harding was the 29th President of the United States, serving from 1921-1923."
Who was the 30th President of the United States?,"Calvin Coolidge was the 30th President of the United States, serving from 1923-1929."
Who was the 31th President of the United States?,"Herbert Hoover was the 31th President of the United States, serving from 1929-1933."
Who was the 32th President of the United States?,"Franklin D. Roosevelt was the 32th President of the United States, serving from 1933-1945."
Who was the 33th President of the United States?,"Harry S. Truman was the 33th President of the United States, serving from 1945-1953."
Who was the 34th President of the United States?,"Dwight D. Eisenhower was the 34th President of the United States, serving from 1953-1961."
Who was the 35th President of the United States?,"John F. Kennedy was the 35th President of the United States, serving from 1961-1963."
Who was the 36th President of the United States?,"Lyndon B. Johnson was the 36th President of the United States, serving from 1963-1969."
Who was the 37th President of the United States?,"Richard Nixon was the 37th President of the United States, serving from 1969-1974."
Who was the 38th President of the United States?,"Gerald Ford was the 38th President of the United States, serving from 1974-1977."
Who was the 39th President of the United States?,"Jimmy Carter was the 39th President of the United States, serving from 1977-1981."
Who was the 40th President of the United States?,"Ronald Reagan was the 40th President of the United States, serving from 1981-1989."
Who was the 41th President of the United States?,"George H.W. Bush was the 41th President of the United States, serving from 1989-1993."
Who was the 42th President of the United States?,"Bill Clinton was the 42th President of the United States, serving from 1993-2001."
Who was the 43th President of the United States?,"George W. Bush was the 43th President of the United States, serving from 2001-2009."
Who was the 44th President of the United States?,"Barack Obama was the 44th President of the United States, serving from 2009-2017."
Who was the 45th President of the United States?,"Donald Trump was the 45th President of the United States, serving from 2017-2021."
Who was the 46th President of the United States?,"Joe Biden was the 46th President of the United States, serving from 2021-Present."
Who is the current President of the United States?,"Donald J. Trump, is the current and the 47th President of the United States, previously held the office as the 45th President."
